13578412 527439680942256128  194.0 89.175257732%
383975648 440944538949914624  196.0 91.8367346939%
304344478 527361383571025921  197.0 88.8324873096%
870315216 527443002416168961  200.0 100.0%
233298722 527067961648238592  200.0 95.0%
282207398 527325684566196224  200.0 100.0%
225156494 526888061549166592  200.0 44.0%
22788950 524281580723113985  199.0 93.9698492462%
199870439 527437595052347392  200.0 54.5%
345305601 526711152014016512  200.0 93.0%
67223510 526101931442204672  195.0 95.8974358974%
62557985 394114954477178881  195.0 80.5128205128%
1770189222 527422642488606721  200.0 100.0%
411805129 527294005638217728  199.0 100.0%
247791239 490588156476260352  165.0 83.6363636364%
228994794 524039964200562689  200.0 100.0%
351452684 526444761477963776  200.0 78.5%
391429713 386763510203838464  186.0 99.4623655914%
299093568 527195616871710720  200.0 65.0%
106582062 526396488734097408  200.0 79.0%
875838278 493477159730970625  184.0 96.1956521739%
430780194 526879687327248385  200.0 96.5%
2422455026 527440598169841665  200.0 100.0%
1110079538 496593886534307842  193.0 98.4455958549%
1267005344 321995931492966401  193.0 64.7668393782%
115791115 527432392873893888  199.0 69.8492462312%
889247592 423537957920714753  200.0 99.0%
2600815788 527210416636575745  195.0 92.8205128205%
72967380 527046226219630592  191.0 95.8115183246%
1549384543 527439422795419648  200.0 99.0%
100339392 498554505181802496  200.0 80.5%
297171347 525373885869748225  198.0 86.3636363636%
523570625 525817339938217984  193.0 98.9637305699%
149215052 509414966135635968  199.0 40.2010050251%
299315299 524846465194012674  197.0 77.1573604061%
59294300 526931683728449536  199.0 74.3718592965%
528917264 509414038300667904  180.0 99.4444444444%
103009778 517332677255389186  200.0 63.5%
366458457 527439442215067648  200.0 79.5%
323105911 526849780899512321  199.0 92.9648241206%
564783339 527434734435966976  200.0 99.0%
425117335 527396118511255552  200.0 99.5%
1308225799 524189713763008512  200.0 98.0%
442065326 527244915957178368  200.0 98.5%
1485701658 526976117727834112  186.0 96.7741935484%
2264479098 527166316575457280  197.0 96.9543147208%
315451745 509292718343069696  200.0 99.5%
445002062 521025439184076800  193.0 95.8549222798%
524897301 527442076976545792  200.0 100.0%
635651187 527445959685713921  200.0 97.5%
293683168 527421241045811201  197.0 91.8781725888%
471498358 527401106813374465  199.0 97.9899497487%
232331388 522430859761041409  196.0 78.0612244898%
242641087 527434340884819968  199.0 64.824120603%
345966716 516919014669287424  187.0 97.3262032086%
352045093 518121085263294466  198.0 100.0%
379796823 203821816844783617  196.0 100.0%
273654753 527286392234463233  196.0 79.0816326531%
247206324 527067086539849728  197.0 95.4314720812%
551790283 341399637493690368  184.0 84.7826086957%
1613364870 525450568433954816  187.0 58.8235294118%
157682056 526264887958179840  199.0 98.9949748744%
463067738 527219758664400896  200.0 95.5%
89990907 354859019225141248  200.0 99.5%
250168002 527431814734819330  200.0 81.0%
801056827 274293446729150464  200.0 100.0%
324638837 526079613936881664  200.0 86.5%
365704319 494140807092240384  197.0 94.923857868%
235648095 470331264805785601  197.0 95.4314720812%
212900441 526757694292889602  200.0 90.5%
615217980 527440748463919104  200.0 100.0%
794377400 527337698730586113  199.0 91.4572864322%
266144894 159765211241385984  194.0 100.0%
255878435 465543387769098241  185.0 82.7027027027%
385764080 400149188711026688  197.0 99.4923857868%
380471023 235081929345617920  197.0 100.0%
543150206 527336647042805761  199.0 42.7135678392%
23282031 527159308694192128  200.0 55.0%
464315279 527421045595074560  199.0 93.9698492462%
155594924 526768416108318720  200.0 55.0%
2286573283 432825963374579712  200.0 60.0%
265310744 527192695018504193  200.0 98.0%
1284766321 525264133881470976  196.0 96.9387755102%
479303583 526573868354265088  197.0 97.461928934%
469566805 526009296962605057  184.0 98.3695652174%
426003600 193831386287841280  182.0 98.3516483516%
436963475 426404359917035521  199.0 93.4673366834%
525660521 525574378713776128  200.0 95.5%
1017712398 437860008307748865  174.0 98.275862069%
718387698 526910368606863360  200.0 97.0%
278207785 512203160841359360  189.0 92.5925925926%
802881708 527355976257519616  200.0 100.0%
1016931481 525753844408807425  190.0 100.0%
375670321 524999502919245825  200.0 81.5%
313497033 93739869158903808  200.0 96.0%
371860193 527191500858605568  200.0 85.5%
249065860 523975170218663938  191.0 96.335078534%
1507275511 526915138319036418  197.0 89.847715736%
282581842 527361483295170560  200.0 86.0%
456380740 484424833279602688  188.0 96.8085106383%
363517261 527030858902175744  200.0 100.0%
392191456 527431795663708160  200.0 99.5%
2698038912 496303845236953088  189.0 98.9417989418%
130446768 527267228249358337  200.0 94.5%
289978953 527188945986007041  200.0 90.0%
250395454 527418209729646592  200.0 97.5%
64193832 527292785703931905  188.0 89.8936170213%
251194278 509357780751228928  198.0 69.1919191919%
617132109 527334322382979073  200.0 96.5%
563328208 524184128334217216  199.0 94.9748743719%
17514494 527406277639405568  200.0 62.0%
287708299 388370214976372736  200.0 98.5%
15775625 525938019769917440  200.0 100.0%
956780780 527242805941260288  200.0 95.5%
358869909 527034762628980736  200.0 100.0%
246012621 478499447022702592  197.0 94.923857868%
952181203 527426790122205185  200.0 99.0%
261019126 527437639646199808  199.0 93.9698492462%
1338236995 517998088699772928  199.0 89.9497487437%
286297542 479646032901328896  174.0 95.4022988506%
117868804 527346644703256576  200.0 64.5%
323181622 527410179659538434  199.0 86.432160804%
1520747016 513075108143833088  187.0 97.8609625668%
213779410 527331247119290368  200.0 97.0%
705395378 527427634955694081  199.0 48.2412060302%
165807193 526948554380558336  196.0 59.1836734694%
329844801 492513854962683904  189.0 99.4708994709%
305871368 510202628278468608  198.0 100.0%
1301937247 527374906229788672  199.0 96.9849246231%
457781155 525196317627142144  179.0 100.0%
41383236 527397852650037248  199.0 76.8844221106%
288324273 526667832021381120  200.0 94.5%
372638488 527387942604374017  200.0 100.0%
1445992009 526608185688219649  200.0 97.5%
487400919 527450228970885120  200.0 98.0%
14323591 527215620740644865  197.0 65.9898477157%
292496833 526073962757767169  199.0 87.9396984925%
331982361 527453168800522240  200.0 98.0%
252348959 525678447473860610  196.0 95.9183673469%
2148805348 420396385117437952  176.0 99.4318181818%
135267339 426628764563283968  200.0 48.0%
